Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,Ipc,BCUT2D_CHGLO,SMR_VSA9,BCUT2D_LOGPHI,VSA_EState4,AvgIpc,PEOE_VSA3,VSA_EState8,MaxPartialCharge
CHEMBL4441003,Cc1cccc2nc([C@H](C)Nc3ncnc4[nH]cc(-c5cccc(NS(C)(=O)=O)c5)c34)n(-c3ccccc3)c(=O)c12,10.4,9.634654918518471,0.765345081481529,0.0010224182567678548,2149163223.002266,-2.2069435986673787,16.814289258077554,2.34378843306089,4.660929145722825,3.378421172134683,23.369732547170564,3.8406338511029836,0.2657986158360523
CHEMBL3704739,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C)c4N4CCN(C)[C@H](C(C)C)C4)cc2OCC3)n(C(C)C)n1,10.32,9.839230042016826,0.4807699579831741,0.006364099406268734,853237454.9761351,-2.422427327301174,39.782603299223204,2.3941586545132885,4.053070840595192,3.580651254170592,14.6497599770396,15.061072490671943,0.17839864522177362
CHEMBL4434674,COc1ncc(-c2cc(-c3ncc(CN4C[C@@H](C)O[C@@H](C)C4)o3)c3cn[nH]c3c2)cc1NS(C)(=O)=O,10.1,9.285095500773018,0.8149044992269818,0.002142850982381173,146270332.99487785,-2.341123467557046,28.461066733552265,2.351682310656472,3.2584378484257437,3.4590667780905484,18.385754026223353,6.439960681515916,0.23760845000507735
CHEMBL3403664,C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(S(C)(=O)=O)c1-c1ccccc1,10.0,9.252764775282229,0.7472352247177714,0.003670522899261573,21439069.49051192,-2.218373395404043,17.196124296186266,2.386843742333562,7.516243163751994,2.7747237438798016,27.760147594845385,1.7595658541194255,0.176377309160535
CHEMBL4541570,CC(Nc1ncnc2[nH]cnc12)c1cc2ccccn2c(=O)c1-c1ccccc1,10.0,9.083160478771868,0.9168395212281322,0.0006756042456304747,9342845.151337733,-2.194412395885913,11.126902983393991,2.291685304603123,4.566673763896438,3.241189407985792,14.951935562841626,2.0151284958427818,0.26280883329218396
CHEMBL3704656,Cc1nc(-c2cn3c(n2)-c2cnc(N4CCCC4C4CCCCN4C)cc2OCC3)n(CC(F)(F)F)n1,9.99,9.233932212487021,0.7560677875129791,0.004789418085819563,338213632.25210893,-2.4034557322868864,28.655700315829215,2.3796316988672483,1.0632955190941478,3.5480637595149758,19.633738497986812,3.385797464773186,0.40760966874081755
CHEMBL3704723,Cc1nc(-c2cn3c(n2)-c2ccc(N4CCC4[C@@H]4CCCN(C(C)C)C4)cc2OCC3)n(C(C)C)n1,9.8,9.374346825396836,0.42565317460316443,0.0051235777966296666,178143905.90712178,-2.4995952620638135,28.655700315829215,2.405037703323816,3.1978437535970983,3.381290124790326,14.6497599770396,15.831977217244372,0.17839864522191093
CHEMBL3704706,Cc1nc(-c2cn3c(n2)-c2ccc(N4CCCC45CCCN(C)C5)cc2OCC3)n(C(C)C)n1,9.75,9.467433333333334,0.28256666666666597,0.0033708249144359945,92405674.26964732,-2.4586496556411954,28.655700315829215,2.430602628505934,3.45545398307742,3.482060473558552,14.6497599770396,11.046815173793387,0.17839864522191093
CHEMBL3218576,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,9.74,8.923497055512167,0.8165029444878336,0.0012362114652290867,157954625.0341346,-2.284888444228108,11.49902366656781,2.4279484509540383,7.1959759802550565,3.3793030250740705,14.960361774530085,6.157541048701199,0.26061319395702015
CHEMBL4166144,COc1ncc(-c2cc(OC3CCOCC3)c3nc(N)nc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,9.74,9.401595114781522,0.33840488521847867,0.0038672802248608945,481087823.06734717,-2.240796328492378,22.756403153113265,2.3664723781569785,8.181456207205219,2.8883721691876243,32.15056264252021,2.9617464510981693,0.26449388169047455
