Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL1760158,,None,357.38,0,2.72,31,Cc1nc(N)nc(-n2c(Nc3ccc4cn[nH]c4c3)nc3ccccc32)n1,IC50,'=',320,nM,6.5,,,UO_0000065,18.17,0.33,3.77,5.27,0,CHEMBL1763564,Inhibition of PI3Kdelta,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL1759974,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,,0.32
CHEMBL2152771,,None,464.57,0,1.88,14,CC(C)(O)C1CCN(Cc2ccc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1,IC50,'=',2.6,nM,8.59,,,UO_0000065,18.48,0.34,6.71,6.79,0,CHEMBL2157248,Inhibition of PI3K p110delta using PIP2 as substrate assessed as PIP3 formation by fluorescence polarization assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2151019,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,2.6
CHEMBL2152768,,None,504.61,1,4.13,3,CC(C)(O)C1CCN(Cc2ccc3nc(-c4c(F)ccc5[nH]ccc45)nc(N4CCOCC4)c3n2)CC1,IC50,'=',41,nM,7.39,,,UO_0000065,14.64,0.27,3.26,8.17,0,CHEMBL2157252,Inhibition of PI3Kdelta in human whole blood assessed as upregulation of CD69,B,BAO_0000357,single protein format,Homo sapiens,CHEMBL3638178,Blood,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2151019,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,41
CHEMBL3937861,,None,504.77,1,3.65,BDBM255545,Nc1cnc(-n2c([C@@H](Nc3ncnc(N)c3Cl)C3CC3)nc3c(Cl)ccc(Cl)c3c2=O)cn1,IC50,'=',54,nM,7.27,,445499,UO_0000065,14.4,0.3,3.62,4.83,0,CHEMBL3889294,Time-Resolved Fluorescence Resonance Energy Transfer (TR-FRET) Assay: The activities were measured using a time-resolved fluorescence resonance energy transfer (TR-FRET) assay. TR-FRET monitored the formation of 3,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3979863,,None,491.56,0,4.53,BDBM236938,Cc1ccn2nc([C@H](C)Nc3ncnc4[nH]cc(Cc5cccc(O)c5)c34)n(-c3ccccc3)c(=O)c12,IC50,'=',3,nM,8.52,,412821,UO_0000065,17.34,0.31,3.99,7.53,0,CHEMBL3888730,HTRF Assay : PI-3 Kinase HTRF kit (ref. #33-037) and the different PI3K recombinant isoforms (ref. #14-602,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3940714,,None,608.68,2,4.51,BDBM236955,Cc1ccn2nc([C@H](C)Nc3ncnc(N)c3-c3cccc(NS(=O)(=O)c4ccc(O)cc4)c3)n(-c3ccccc3)c(=O)c12,IC50,'=',0.4,nM,9.4,,412838,UO_0000065,15.44,0.29,4.89,5.54,0,CHEMBL3888730,HTRF Assay : PI-3 Kinase HTRF kit (ref. #33-037) and the different PI3K recombinant isoforms (ref. #14-602,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3967455,,None,590.62,2,2.64,BDBM236992,Cc1ccn2nc([C@H](C)Nc3ncnc(N)c3C(=O)Oc3cc(O)cc(NS(C)(=O)=O)c3)n(-c3ccccc3)c(=O)c12,IC50,'=',0.2,nM,9.7,,412875,UO_0000065,16.42,0.32,7.06,4.95,0,CHEMBL3888730,HTRF Assay : PI-3 Kinase HTRF kit (ref. #33-037) and the different PI3K recombinant isoforms (ref. #14-602,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3898556,,None,599.68,1,3.83,BDBM236998,Cc1ccn2nc([C@H](C)Nc3ncnc4[nH]cc(-c5ccc(NS(=O)(=O)N(C)C)cc5O)c34)n(-c3ccccc3)c(=O)c12,IC50,'=',2,nM,8.7,,412881,UO_0000065,14.51,0.28,4.87,5.35,0,CHEMBL3888730,HTRF Assay : PI-3 Kinase HTRF kit (ref. #33-037) and the different PI3K recombinant isoforms (ref. #14-602,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3218572,,None,350.42,0,3.77,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3218580,,None,852.86,3,-2.87,56,N=C(N)NCCCC(NC(=O)CCC(=O)OC[N+]1(c2cc(=O)c3cccc(-c4ccccc4)c3o2)CCOCC1)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)[O-],IC50,'=',3225,nM,5.49,,,UO_0000065,6.44,0.12,8.36,1.61,0,CHEMBL3223609,Inhibition of PI3Kdelta (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3217752,1,Scientific Literature,Medchemcomm,2012,None,,,,3.225
CHEMBL3218575,PILARALISIB,None,448.53,0,4.49,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL939,GEFITINIB,4,446.91,0,4.28,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL1243967,Inhibition of recombinant PI3Kdelta by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,50
CHEMBL1336,SORAFENIB,4,464.83,1,5.55,Sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL1243967,Inhibition of recombinant PI3Kdelta by radioactive phosphotransfer assay in presence of 10 uM ATP,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL1240340,1,Scientific Literature,Nat Chem Biol,2008,None,,,,50
CHEMBL2089119,,None,466.97,0,2.88,31,Cc1c(Cl)cccc1Cn1c(SCC(=O)O)nc(=O)c2sc(N3CCOCC3)nc21,IC50,'=',2,nM,8.7,,,UO_0000065,18.63,0.4,5.82,8.92,0,CHEMBL2090369,Inhibition of PI3K delta by continuous TR-FRET assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2086270,1,Scientific Literature,ACS Med Chem Lett,2012,None,,,,0.002
CHEMBL4742651,,None,442.52,0,0.38,30,CC(C)C(=O)N1CC[C@](CO)(Nc2cc(-c3cnc(N)nc3)nc(N3CCOCC3)n2)C1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4712571,Inhibition of recombinant human N-terminal Myr signal and C-terminal Flag-tagged PI3K p110delta expressed in rat Rat1 cells,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Rat1,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL4706640,1,Scientific Literature,J Med Chem,2021,None,,,,10000
CHEMBL4783183,,None,419.49,1,5.94,15e,CCC(=O)Nc1cccc(Nc2ncnc3ccc(-c4cnc5ccccc5c4)cc23)c1,IC50,'=',21,nM,7.68,,,UO_0000065,18.3,0.33,1.74,9.62,0,CHEMBL4711311,Inhibition of PI3Kdelta (unknown origin) by ADP-Glo kinase assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL4706599,1,Scientific Literature,Eur J Med Chem,2020,None,,INHIBITOR,,21
CHEMBL586702,ZSTK-474,2,417.42,0,1.82,8,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,IC50,'=',4.6,nM,8.34,,,UO_0000065,19.97,0.38,6.52,10.24,0,CHEMBL1216943,Inhibition of p110delta,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL1212808,1,Scientific Literature,Nat Chem Biol,2010,None,,,,4.6
CHEMBL3403664,,None,462.51,0,3.86,1,C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(S(C)(=O)=O)c1-c1ccccc1,IC50,'=',0.1,nM,10,,,UO_0000065,21.62,0.41,6.14,7.43,0,CHEMBL3404165,Inhibition of PI3Kdelta (unknown origin) assessed as inhibition of AKT phosphorylation by cell-based HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3400094,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,,,0.0001
CHEMBL3403674,,None,428.48,0,3.92,7a,CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(N(C)C)c1-c1ccccn1,IC50,'=',3.6,nM,8.44,,,UO_0000065,19.71,0.36,4.52,7.24,0,CHEMBL3404165,Inhibition of PI3Kdelta (unknown origin) assessed as inhibition of AKT phosphorylation by cell-based HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3400094,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,,,0.0036
CHEMBL3403676,,None,470.51,0,3.69,7c,C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(N2CCOCC2)c1-c1ccccn1,IC50,'=',1.2,nM,8.92,,,UO_0000065,18.96,0.35,5.23,7.09,0,CHEMBL3404165,Inhibition of PI3Kdelta (unknown origin) assessed as inhibition of AKT phosphorylation by cell-based HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3400094,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,,,0.0012
CHEMBL589258,,None,570.66,1,2.78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL469201,,None,314.41,0,3.83,3,CC1(C)CC(=O)c2sc(N3CCOc4ccccc43)nc2C1,IC50,'=',614,nM,6.21,,,UO_0000065,19.76,0.39,2.38,14.64,0,CHEMBL1001352,Inhibition of PI3K delta,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL1155924,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,,,614
CHEMBL2089117,,None,408.94,0,2.99,29,Cc1c(Cl)cccc1Cn1c(S)nc(=O)c2sc(N3CCOCC3)nc21,IC50,'=',50,nM,7.3,,,UO_0000065,17.85,0.38,4.31,12.12,0,CHEMBL2090369,Inhibition of PI3K delta by continuous TR-FRET assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2086270,1,Scientific Literature,ACS Med Chem Lett,2012,None,,,,0.05
CHEMBL3977066,,None,492.54,0,3.54,1a,COc1ncc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C(C)=O)CC5)c4)c3c2)cc1C#N,IC50,'=',9,nM,8.05,,,UO_0000065,16.34,0.3,4.51,7.16,1,CHEMBL4134211,Inhibition of PI3Kdelta (unknown origin) using phosphatidyl inositol as substrate measured after 60 mins by Alexa Fluor647-labelled ADP tracer based TR-FRET assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL4130456,1,Scientific Literature,ACS Med Chem Lett,2017,None,,,,0.009
CHEMBL3643377,,None,450.5,0,2.34,BDBM118263,COc1ncc(N2CCc3ncnc(O[C@H]4CCN(C(=O)c5ncoc5C)C4)c3C2)cc1C,IC50,'=',40,nM,7.4,,244579,UO_0000065,16.42,0.31,5.06,6.93,0,CHEMBL3707605,Enzyme Assay: Test of Lipid Kinase Activity: The kinase reaction is performed in a final volume of 50 μl per well of a half area COSTAR,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2018266,,None,332.36,0,3.88,6f,COc1ccc(-c2nnc(SCc3ccc(F)cc3)o2)c(O)c1,IC50,'=',11530,nM,4.94,,,UO_0000065,14.86,0.29,1.06,7.22,0,CHEMBL2021236,Inhibition of PI3Kdelta expressed in cells co-expressing N-terminal His-tagged human p85a using L-alpha-phosphatidylinositol substrate by TLC based phosphor imaging,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL2016554,1,Scientific Literature,Bioorg Med Chem,2012,None,,,,11.53
CHEMBL3643370,,None,452.47,0,1.73,BDBM118255,COc1cc(N2CCc3ncnc(O[C@H]4CCN(C(=O)c5cnco5)C4)c3C2)cnc1OC,IC50,'=',8,nM,8.1,,244571,UO_0000065,17.89,0.34,6.37,6.98,0,CHEMBL3707605,Enzyme Assay: Test of Lipid Kinase Activity: The kinase reaction is performed in a final volume of 50 μl per well of a half area COSTAR,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3704721,,None,481.62,0,4.32,BDBM172678,Cc1nc(-c2cn3c(n2)-c2cc([C@@H](C)N4CCN(C(C)C)CC4)c(F)cc2OCC3)n(C(C)C)n1,IC50,'=',1.48,nM,8.83,,317619,UO_0000065,18.33,0.34,4.51,13.74,0,CHEMBL3705837,Inhibition Assay: PI3K enzymatic activity was assayed by measuring the amount of product phosphatidylinositol 3,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3704725,,None,435.58,0,3.62,BDBM172686,Cc1nc(-c2cn3c(n2)-c2ccc(N4CCCC4CN(C)C)cc2OCC3)n(C(C)C)n1,IC50,'=',0.445,nM,9.35,,317629,UO_0000065,21.47,0.4,5.73,14.56,0,CHEMBL3705837,Inhibition Assay: PI3K enzymatic activity was assayed by measuring the amount of product phosphatidylinositol 3,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3704736,,None,494.64,0,2.93,BDBM172704,Cc1nc(-c2cn3c(n2)-c2cc([C@H](C)N4CCN(C(C)(C)CO)CC4)ncc2OCC3)n(C(C)C)n1,IC50,'=',2.1,nM,8.68,,317645,UO_0000065,17.54,0.33,5.75,8.91,0,CHEMBL3705837,Inhibition Assay: PI3K enzymatic activity was assayed by measuring the amount of product phosphatidylinositol 3,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3408263,,None,483.52,0,4.32,28,CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCCC2)cc2c(=O)cc(N3CCOCC3)oc12,IC50,'=',50,nM,7.3,,,UO_0000065,15.1,0.28,2.98,9.73,0,CHEMBL3411218,Inhibition of human recombinant PI3Kdelta using PIP2 by Kinase-Glo Plus assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3407416,1,Scientific Literature,J Med Chem,2015,None,,,,0.05
CHEMBL3408272,,None,443.45,0,3.22,37,CN(C)C(=O)c1cc(CNc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,IC50,'=',80,nM,7.1,,,UO_0000065,16,0.3,3.88,9.46,0,CHEMBL3411218,Inhibition of human recombinant PI3Kdelta using PIP2 by Kinase-Glo Plus assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3407416,1,Scientific Literature,J Med Chem,2015,None,,,,0.08
CHEMBL3403666,,None,400.42,0,4.16,2b,CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(O)c1-c1ccccc1,IC50,'=',16,nM,7.8,,,UO_0000065,19.47,0.35,3.64,6.46,0,CHEMBL3404161,Inhibition of PI3Kdelta (unknown origin) by biochemical Alphascreen assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3130,PI3-kinase p110-delta subunit,Homo sapiens,SINGLE PROTEIN,CHEMBL3400094,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,,,0.016
